epoch,accuracy,loss,val_accuracy,val_loss
0,0.35316911339759827,1.334255576133728,0.4322766661643982,1.2903838157653809
1,0.6244118213653564,1.0259990692138672,0.6599423885345459,0.9208884239196777
2,0.7888181805610657,0.6094499826431274,0.7060518860816956,0.7466669082641602
3,0.8386382460594177,0.4312512278556824,0.7060518860816956,0.7939543128013611
4,0.8740658760070801,0.34394845366477966,0.7031700015068054,0.8086909055709839
5,0.9056186079978943,0.2766055762767792,0.7233429551124573,0.8504462838172913
6,0.9197342991828918,0.23288510739803314,0.7002881765365601,0.9106012582778931
7,0.9335731863975525,0.19920484721660614,0.7089337110519409,0.9995051026344299
8,0.947135329246521,0.16961312294006348,0.6887608170509338,1.038835048675537
9,0.9568225741386414,0.1410590261220932,0.6657060384750366,1.085150957107544
10,0.9612510204315186,0.127729132771492,0.6599423885345459,1.1474621295928955
11,0.9659562706947327,0.1120007336139679,0.6743515729904175,1.171072006225586
12,0.9681705236434937,0.10293913632631302,0.6657060384750366,1.2381060123443604
13,0.9684472680091858,0.09782501310110092,0.6685879230499268,1.2771846055984497
14,0.9717686176300049,0.09280315041542053,0.639769434928894,1.3269439935684204
15,0.9748131632804871,0.0859772190451622,0.6685879230499268,1.3206106424331665
16,0.974259614944458,0.08020316809415817,0.6829971075057983,1.3890470266342163
17,0.9784113168716431,0.07567158341407776,0.6570605039596558,1.4115278720855713
18,0.975643515586853,0.07537125051021576,0.6714697480201721,1.4539927244186401
19,0.9745364189147949,0.0721854493021965,0.6455331444740295,1.4776861667633057
20,0.9767506122589111,0.07020959258079529,0.6714697480201721,1.482477068901062
21,0.9753667116165161,0.06511309742927551,0.6455331444740295,1.5339503288269043
22,0.9786880612373352,0.06497127562761307,0.6570605039596558,1.5472131967544556
23,0.9761970639228821,0.06420129537582397,0.6570605039596558,1.5560431480407715
24,0.9792416095733643,0.05634862557053566,0.6311239004135132,1.6462013721466064
